FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
504,2018-05-19,2018,5,May,Qtr 2,19
505,2018-05-20,2018,5,May,Qtr 2,20
506,2018-05-21,2018,5,May,Qtr 2,21
507,2018-05-22,2018,5,May,Qtr 2,22
508,2018-05-23,2018,5,May,Qtr 2,23
509,2018-05-24,2018,5,May,Qtr 2,24
510,2018-05-25,2018,5,May,Qtr 2,25
511,2018-05-26,2018,5,May,Qtr 2,26
512,2018-05-27,2018,5,May,Qtr 2,27
513,2018-05-28,2018,5,May,Qtr 2,28
514,2018-05-29,2018,5,May,Qtr 2,29
515,2018-05-30,2018,5,May,Qtr 2,30
516,2018-05-31,2018,5,May,Qtr 2,31
517,2018-06-01,2018,6,June,Qtr 2,1
518,2018-06-02,2018,6,June,Qtr 2,2
519,2018-06-03,2018,6,June,Qtr 2,3
520,2018-06-04,2018,6,June,Qtr 2,4
521,2018-06-05,2018,6,June,Qtr 2,5
522,2018-06-06,2018,6,June,Qtr 2,6
523,2018-06-07,2018,6,June,Qtr 2,7
524,2018-06-08,2018,6,June,Qtr 2,8
525,2018-06-09,2018,6,June,Qtr 2,9
526,2018-06-10,2018,6,June,Qtr 2,10
527,2018-06-11,2018,6,June,Qtr 2,11
528,2018-06-12,2018,6,June,Qtr 2,12
529,2018-06-13,2018,6,June,Qtr 2,13
530,2018-06-14,2018,6,June,Qtr 2,14
531,2018-06-15,2018,6,June,Qtr 2,15
532,2018-06-16,2018,6,June,Qtr 2,16
533,2018-06-17,2018,6,June,Qtr 2,17
534,2018-06-18,2018,6,June,Qtr 2,18
535,2018-06-19,2018,6,June,Qtr 2,19
536,2018-06-20,2018,6,June,Qtr 2,20
537,2018-06-21,2018,6,June,Qtr 2,21
538,2018-06-22,2018,6,June,Qtr 2,22
539,2018-06-23,2018,6,June,Qtr 2,23
540,2018-06-24,2018,6,June,Qtr 2,24
541,2018-06-25,2018,6,June,Qtr 2,25
542,2018-06-26,2018,6,June,Qtr 2,26
543,2018-06-27,2018,6,June,Qtr 2,27
544,2018-06-28,2018,6,June,Qtr 2,28
545,2018-06-29,2018,6,June,Qtr 2,29
546,2018-06-30,2018,6,June,Qtr 2,30
547,2018-07-01,2018,7,July,Qtr 3,1
548,2018-07-02,2018,7,July,Qtr 3,2
549,2018-07-03,2018,7,July,Qtr 3,3
550,2018-07-04,2018,7,July,Qtr 3,4
